Advertiser,Upload Date,Before,After
grammarly,10-12-18,91,88
goodrx,16-09-18,64,65
wework,20-02-19,68,72
cormiers,07-02-19,37,38
skechers,01-04-19,53,71
Game of thrones games,14-03-19,13,16
Ofenbach,12-04-19,22,22
credibly,20-03-19,52,79
danvadenbrunswick,16-04-19,71,0
express,13-02-19,44,47
mcdonalds,01-04-19,66,64
downy Unstopables,08-04-19,50,52
grammarly,14-02-19,83,83
carfax,03-04-19,91,84
geico,24-02-19,94,99
sprint,29-03-19,71,70
get blazetv,08-02-19,72,45
pronamel,02-04-19,81,100
viro rides,05-11-18,29,40
mous,23-01-19,100,86
apple,21-03-19,50,59
Penguin middle school,16-04-19,34,35
apple,16-04-19,47,46
apple,21-03-19,50,59
Fox News,01-03-18,34,32
pronamel,19-03-19,87,89
nutrena,16-02-18,49,25
michelobultra,12-04-19,31,33
ScHoolBoy Q,10-04-19,53,49
dannyedwardsgolf,17-12-18,38,0
autozone,28-03-19,96,94
petco,26-03-19,80,81
butterfinger,20-02-19,51,53
apple,28-03-19,59,49
impeach trump,16-01-19,100,74
worldofwarships,09-06-16,31,30
geico,04-04-19,87,89
pennington seeds,02-04-19,20,59
epicgames,17-04-19,36,36
southerntide,05-04-19,30,34
ally,28-03-19,62,67
portuguesekids,10-04-19,0,0
harvard business school,15-03-19,44,78
xfinity,08-04-19,78,82
adultswim,07-04-19,47,0
Friends of the Israel Defense Forces,14-03-19,26,26
godaddy,06-02-19,100,96
aimovig,02-04-19,14,55
cryptokitties,28-03-19,0,2
instacart,08-04-19,87,82
grammarly,11-02-19,85,83
mcdonalds,04-04-19,64,60
216digital,04-04-19,37,34
Game of thrones games,15-11-18,13,16
godaddy,13-02-19,96,98
shell,09-04-19,43,37
breakthroughtickets,15-04-19,26,100
hormel,06-03-19,6,9
gotomeeting,19-02-19,85,79
apple,21-03-19,50,59
honda passport,02-04-19,49,47
old line spirits,31-03-19,55,37
credibly,02-04-19,78,26
Mentos,27-02-19,38,41
allegra,02-11-18,26,41
Wells Fargo,28-02-19,71,72
chrome tip,04-01-19,76,74
leagueoflegends,30-10-18,98,96
geico,02-04-19,87,89
geico,20-02-19,87,94
National Pork board,28-12-17,28,42
shell rewards,19-03-19,84,51
mazda,08-04-19,89,92
casa modelo,14-04-19,10,53
botox chronic migraine,05-04-19,0,19
marriott,28-03-19,86,86
usaa,31-03-19,93,95
gmc,10-04-19,92,91
cadillac,08-04-19,88,88
ford truck,12-04-19,91,90
apple,15-04-19,47,46
st jude,26-03-19,34,34
glad press,23-01-19,10,20
Google Translate,26-03-19,92,98
apple,15-04-19,47,46
mbsugarland,26-03-19,70,82
K9 advantics,20-03-19,0,0
snickers tumblr,11-03-19,32,44
cat,24-01-19,37,44
sony playstation,19-03-19,39,44
lg g8,04-04-19,63,100
ketel one,21-02-19,40,42
teamworldvision,15-03-19,66,70
mcdonalds,04-04-19,64,60
J. C. Penney,16-04-19,32,35
Wendys,14-04-19,71,74
events genndi,18-01-19,0,0
usaa,31-03-19,93,95
apple,28-03-19,59,49
Mitsubishi Outlander,18-03-19,100,99
verizonwireless,04-04-19,62,70
leagueoflegends,19-09-18,69,73
southwest,08-04-19,68,64
ember,01-04-19,12,11
redfin,18-10-18,64,62
hyundai,02-04-19,94,89
rightguard,21-02-19,54,44
skechers,01-04-19,53,71
bilh,01-04-19,0,18
grammarly,21-03-19,81,79
apple,14-04-19,47,46
uber,07-02-19,82,83
calvinklein,22-03-19,57,83
skechers,01-04-19,53,71
ancestry,30-12-18,77,57
walmart,07-04-19,40,42
geico,28-01-19,94,93
zumba,16-04-19,63,60
eliteguardtraining,25-09-18,11,10
drscholls,21-12-18,58,63
mazda,08-04-19,89,92
skechers,01-04-19,53,71
Adobe Creative Cloud,27-03-19,0,47
The Tonight Show Starring Jimmy Fallon,14-04-19,37,39
dark phoenix,17-04-19,19,31
pampers,31-03-19,73,71
hulu,11-04-19,75,81
eurail,03-12-18,65,59
bmwusa,07-04-19,73,73
samsung galaxy 10,18-03-19,62,53
crossout,16-04-19,51,57
wikibuy,07-07-17,19,38
apple,14-04-19,47,46
groupon,25-06-18,90,95
